Txn Date,Narration,Withdrawal Amt,Deposit Amt
02-05-2026,SALARY CREDIT XYZ CORP,,45000.00
03-05-2026,SWIGGY BANGALORE,420.00,
05-05-2026,ZOMATO ORDER,380.00,
10-05-2026,NETFLIX SUBSCRIPTION,499.00,
15-05-2026,AMAZON PAY MUMBAI,2200.00,
20-05-2026,RENT,15000.00,
22-05-2026,BIGBASKET,3200.00,
02-06-2026,SALARY CREDIT XYZ CORP,,45000.00
04-06-2026,SWIGGY BANGALORE,600.00,
06-06-2026,ZOMATO ORDER,450.00,
10-06-2026,NETFLIX SUBSCRIPTION,499.00,
14-06-2026,FLIPKART SHOPPING,6500.00,
20-06-2026,RENT,15000.00,
21-06-2026,BIGBASKET,2900.00,
25-06-2026,MYNTRA,3400.00,
02-07-2026,SALARY CREDIT XYZ CORP,,45000.00
01-07-2026,SWIGGY BANGALORE,450.00,
03-07-2026,NETFLIX SUBSCRIPTION,499.00,
05-07-2026,ZOMATO ORDER,320.00,
06-07-2026,UPI-SWIGGY-998877@okhdfc,275.00,
08-07-2026,POS SWIGGY*BLR445566,610.00,
10-07-2026,AMAZON PAY MUMBAI,1200.00,
20-07-2026,RENT,15000.00,
22-07-2026,BIGBASKET,3100.00,
